RollNo,Name,Course,EmailID,Address,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6
212210101,Percy Brock,MTech,percy_brock2690@irrepsy.com,691 Lazy Quail Junction,54,53,32,25,99,64
212210102,Jayden Redwood,MTech,jayden_redwood6420@liret.org,487 S Mountain,83,45,28,47,96,64
212210103,Rosalie Gaynor,MTech,rosalie_gaynor2333@acrit.org,158 Rocky Mountain,90,89,31,82,83,71
212210104,Denis Pond,MTech,denis_pond73@joiniaa.com,674 Bluff Promenade,49,73,76,29,87,81
212210105,Fiona Hill,MTech,fiona_hill6783@muall.tech,562 Foggy Trail,34,80,35,40,44,95
212210106,Tyson Zaoui,MTech,tyson_zaoui9592@gompie.com,91 Round Parkway,88,82,26,70,44,74
212210107,Macy Santos,MTech,macy_santos7642@twipet.com,377 Golden Cloud Route,94,35,89,71,30,73
212210108,Elly Chester,MTech,elly_chester1327@nickia.com,895 Sleepy Rest Arcade,90,97,93,54,37,26
212210109,Angelica Walton,MTech,angelica_walton5308@dionrab.com,553 Silent Common Station,67,88,76,60,53,90
212210110,Barry Fox,MTech,barry_fox6783@yahoo.com,607 Misty Bear Crest,89,79,80,43,93,47
212210111,Luke Upsdell,MTech,luke_upsdell4324@zorer.org,148 Sixth Acres,67,85,96,61,75,33
212210112,Samara Attwood,MTech,samara_attwood6239@nimogy.biz,69 Cedar Woods,42,82,97,50,68,90
212210113,Clarissa Patel,MTech,clarissa_patel756@brety.org,457 Emerald Ford Harbor,39,60,70,77,57,49
212210114,Kendra Connor,MTech,kendra_connor9491@gompie.com,P.O. Box 39224,85,65,88,80,62,27
212210115,Denis Jackson,MTech,denis_jackson3349@kideod.biz,420 Light Orchard,45,72,81,92,54,27
212210116,Domenic Clark,MTech,domenic_clark6053@naiker.biz,65 Robin Dam,38,63,70,27,35,45
212210117,Owen Fowler,MTech,owen_fowler9311@vetan.org,497 Stony Mission,35,29,29,39,50,45
212210118,Victoria Vaughan,MTech,victoria_vaughan8872@infotech44.tech,P.O. Box 99012,67,31,27,32,86,38
212210119,Adeline Gray,MTech,adeline_gray4421@extex.org,975 Umber Maple Stead,53,80,34,95,98,89
212210120,Nate Stewart,MTech,nate_stewart7917@gmail.com,776 S Terrace,92,58,99,88,94,88
212210121,Clint Booth,MTech,clint_booth1174@dionrab.com,136 Sixth Glen,26,86,40,31,35,80
212210122,Joseph Antcliff,MTech,joseph_antcliff9805@sheye.org,572 Dusty Willow Oval,25,48,93,66,40,52
212210123,Aleksandra Lane,MTech,aleksandra_lane8254@twace.org,345 Little Seventh Lawn,98,62,47,95,41,67
212210124,Regina Vinton,MTech,regina_vinton4574@nickia.com,P.O. Box 37872,45,57,82,79,93,90
212210125,Martin Locke,MTech,martin_locke9777@grannar.com,845 Hazy Light,62,30,37,86,57,42
212210126,Nick Bullock,MTech,nick_bullock3419@ubusive.com,P.O. Box 34543,97,77,30,31,42,55
212210127,Adina Grant,MTech,adina_grant2435@dionrab.com,839 SW Cloud Arcade,36,84,77,55,25,50
212210128,Harriet Wilde,MTech,harriet_wilde8513@cispeto.com,521 Old Pony,48,63,50,33,53,75
212210129,Bart Moreno,MTech,bart_moreno1149@famism.biz,P.O. Box 56922,100,26,41,76,47,36
212210130,Liam Cameron,MTech,liam_cameron3142@ovock.tech,654 Foggy Center Pathway,37,45,45,78,50,47
212210131,Henry Holt,MTech,henry_holt1316@deons.tech,P.O. Box 34333,73,27,82,35,94,58
212210132,Cadence Norris,MTech,cadence_norris5666@nickia.com,627 Shady Estate,88,59,61,48,40,47
212210133,Amelia Lindsay,MTech,amelia_lindsay6565@fuliss.net,P.O. Box 86795,50,74,32,89,75,61
212210134,Chuck Bright,MTech,chuck_bright7537@dionrab.com,478 Gentle Field Place,77,33,44,39,33,50
212210135,Nathan Simmons,MTech,nathan_simmons9434@ubusive.com,255 Quaking Prairie Freeway,35,72,52,28,33,76
212210136,Kendra Haines,MTech,kendra_haines9232@womeona.net,484 Cedar Lake Glade,78,40,99,92,80,62
212210137,Daniel Tyrrell,MTech,daniel_tyrrell3848@eirey.tech,704 Cotton Fox,61,52,81,89,93,32
212210138,Aisha Boyle,MTech,aisha_boyle1437@infotech44.tech,P.O. Box 59197,55,56,74,47,27,68
212210139,Tom Forth,MTech,tom_forth1741@zorer.org,876 Misty Lake Causeway,58,75,37,25,95,72
212210140,Kieth Tanner,MTech,kieth_tanner999@sheye.org,P.O. Box 58184,100,65,35,38,56,91
212210141,Chad Clark,MTech,chad_clark2387@brety.org,162 Dewy Landing,62,31,59,46,99,78
212210142,Carla Avery,MTech,carla_avery7990@guentu.biz,4 Old Anchor Route,61,68,51,27,39,66
212210143,Priscilla Walker,MTech,priscilla_walker403@atink.com,35 Goose Alley,84,81,60,53,43,93
212210144,Rick Bristow,MTech,rick_bristow4127@ubusive.com,367 Ferry Swale,65,41,90,49,48,79
